Using device: cpu
PG training on LunarLander-v3 | reward_to_go=False adv_norm=True
Saved latest PG checkpoint (iter 350) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=-28.45
[PG] Iter 352/500 | Mean Reward=-26.37
[PG] Iter 353/500 | Mean Reward=-21.40
[PG] Iter 354/500 | Mean Reward=-0.44
[PG] Iter 355/500 | Mean Reward=-31.82
[PG] Iter 356/500 | Mean Reward=-72.45
[PG] Iter 357/500 | Mean Reward=-22.60
[PG] Iter 358/500 | Mean Reward=-17.58
[PG] Iter 359/500 | Mean Reward=-23.91
[PG] Iter 360/500 | Mean Reward=-43.76
Saved latest PG checkpoint (iter 360) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=-21.84
[PG] Iter 362/500 | Mean Reward=-39.48
[PG] Iter 363/500 | Mean Reward=-55.55
[PG] Iter 364/500 | Mean Reward=-60.85
[PG] Iter 365/500 | Mean Reward=-73.54
[PG] Iter 366/500 | Mean Reward=-39.62
[PG] Iter 367/500 | Mean Reward=-28.24
[PG] Iter 368/500 | Mean Reward=-42.71
[PG] Iter 369/500 | Mean Reward=-50.09
[PG] Iter 370/500 | Mean Reward=-60.56
Saved latest PG checkpoint (iter 370) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=-28.36
[PG] Iter 372/500 | Mean Reward=-56.06
[PG] Iter 373/500 | Mean Reward=-82.62
[PG] Iter 374/500 | Mean Reward=-66.42
[PG] Iter 375/500 | Mean Reward=-41.20
[PG] Iter 376/500 | Mean Reward=-73.51
[PG] Iter 377/500 | Mean Reward=-75.18
[PG] Iter 378/500 | Mean Reward=-64.72
[PG] Iter 379/500 | Mean Reward=-62.31
[PG] Iter 380/500 | Mean Reward=-80.64
Saved latest PG checkpoint (iter 380) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=-42.83
[PG] Iter 382/500 | Mean Reward=-75.78
[PG] Iter 383/500 | Mean Reward=-53.89
[PG] Iter 384/500 | Mean Reward=-64.87
[PG] Iter 385/500 | Mean Reward=-57.55
[PG] Iter 386/500 | Mean Reward=-75.94
[PG] Iter 387/500 | Mean Reward=-55.68
[PG] Iter 388/500 | Mean Reward=-71.08
[PG] Iter 389/500 | Mean Reward=-45.23
[PG] Iter 390/500 | Mean Reward=-50.66
Saved latest PG checkpoint (iter 390) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 391/500 | Mean Reward=-48.96
[PG] Iter 392/500 | Mean Reward=-71.08
[PG] Iter 393/500 | Mean Reward=-65.29
[PG] Iter 394/500 | Mean Reward=-61.85
[PG] Iter 395/500 | Mean Reward=-57.53
[PG] Iter 396/500 | Mean Reward=-54.32
[PG] Iter 397/500 | Mean Reward=-49.33
[PG] Iter 398/500 | Mean Reward=-41.09
[PG] Iter 399/500 | Mean Reward=-31.45
[PG] Iter 400/500 | Mean Reward=-39.91
Saved latest PG checkpoint (iter 400) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 401/500 | Mean Reward=-92.54
[PG] Iter 402/500 | Mean Reward=-72.80
[PG] Iter 403/500 | Mean Reward=-19.06
[PG] Iter 404/500 | Mean Reward=-72.43
[PG] Iter 405/500 | Mean Reward=-5.23
[PG] Iter 406/500 | Mean Reward=-19.19
[PG] Iter 407/500 | Mean Reward=-24.64
[PG] Iter 408/500 | Mean Reward=0.93
[PG] Iter 409/500 | Mean Reward=-19.24
[PG] Iter 410/500 | Mean Reward=-29.91
Saved latest PG checkpoint (iter 410) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 411/500 | Mean Reward=-47.86
[PG] Iter 412/500 | Mean Reward=15.73
[PG] Iter 413/500 | Mean Reward=-50.04
[PG] Iter 414/500 | Mean Reward=-47.86
[PG] Iter 415/500 | Mean Reward=3.94
[PG] Iter 416/500 | Mean Reward=6.32
[PG] Iter 417/500 | Mean Reward=14.73
[PG] Iter 418/500 | Mean Reward=12.02
[PG] Iter 419/500 | Mean Reward=-0.67
[PG] Iter 420/500 | Mean Reward=-54.76
Saved latest PG checkpoint (iter 420) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 421/500 | Mean Reward=-22.22
[PG] Iter 422/500 | Mean Reward=-37.05
[PG] Iter 423/500 | Mean Reward=1.09
[PG] Iter 424/500 | Mean Reward=6.49
[PG] Iter 425/500 | Mean Reward=-12.05
[PG] Iter 426/500 | Mean Reward=-30.55
[PG] Iter 427/500 | Mean Reward=-25.56
[PG] Iter 428/500 | Mean Reward=-5.63
[PG] Iter 429/500 | Mean Reward=4.01
[PG] Iter 430/500 | Mean Reward=3.21
Saved latest PG checkpoint (iter 430) - P3/Q2/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 431/500 | Mean Reward=-36.75
[PG] Iter 432/500 | Mean Reward=-10.47
[PG] Iter 433/500 | Mean Reward=-5.13
[PG] Iter 434/500 | Mean Reward=-3.32
