Using device: cpu
PG training on CartPole-v1 | reward_to_go=True adv_norm=True
[PG] Iter 324/350 | Mean Reward=441.75
[PG] Iter 325/350 | Mean Reward=485.82
[PG] Iter 326/350 | Mean Reward=500.00
[PG] Iter 327/350 | Mean Reward=499.27
[PG] Iter 328/350 | Mean Reward=500.00
[PG] Iter 329/350 | Mean Reward=460.27
[PG] Iter 330/350 | Mean Reward=499.45
Saved latest PG checkpoint (iter 330) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 331/350 | Mean Reward=474.36
[PG] Iter 332/350 | Mean Reward=478.64
[PG] Iter 333/350 | Mean Reward=500.00
[PG] Iter 334/350 | Mean Reward=500.00
[PG] Iter 335/350 | Mean Reward=500.00
[PG] Iter 336/350 | Mean Reward=500.00
[PG] Iter 337/350 | Mean Reward=500.00
[PG] Iter 338/350 | Mean Reward=493.82
[PG] Iter 339/350 | Mean Reward=464.45
[PG] Iter 340/350 | Mean Reward=490.82
Saved latest PG checkpoint (iter 340) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
[PG] Iter 341/350 | Mean Reward=500.00
[PG] Iter 342/350 | Mean Reward=500.00
[PG] Iter 343/350 | Mean Reward=500.00
[PG] Iter 344/350 | Mean Reward=500.00
[PG] Iter 345/350 | Mean Reward=500.00
[PG] Iter 346/350 | Mean Reward=498.45
[PG] Iter 347/350 | Mean Reward=490.64
[PG] Iter 348/350 | Mean Reward=500.00
[PG] Iter 349/350 | Mean Reward=500.00
[PG] Iter 350/350 | Mean Reward=500.00
Saved latest PG checkpoint (iter 350) - P3/Q2/cartpole/checkpoints/pg_CartPole-v1_last.pth
Saved PG plot: P3/Q2/cartpole/plots/pg_CartPole-v1_20251102_175709.png
