Using device: cpu
PG training on LunarLander-v3 | reward_to_go=True adv_norm=True
Saved latest PG checkpoint (iter 340) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 341/500 | Mean Reward=10.92
[PG] Iter 342/500 | Mean Reward=49.16
[PG] Iter 343/500 | Mean Reward=90.13
[PG] Iter 344/500 | Mean Reward=76.36
[PG] Iter 345/500 | Mean Reward=52.82
[PG] Iter 346/500 | Mean Reward=87.65
[PG] Iter 347/500 | Mean Reward=45.35
[PG] Iter 348/500 | Mean Reward=31.17
[PG] Iter 349/500 | Mean Reward=67.58
[PG] Iter 350/500 | Mean Reward=97.07
Saved latest PG checkpoint (iter 350) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 351/500 | Mean Reward=58.68
[PG] Iter 352/500 | Mean Reward=44.38
[PG] Iter 353/500 | Mean Reward=29.26
[PG] Iter 354/500 | Mean Reward=62.86
[PG] Iter 355/500 | Mean Reward=74.30
[PG] Iter 356/500 | Mean Reward=100.56
[PG] Iter 357/500 | Mean Reward=79.75
[PG] Iter 358/500 | Mean Reward=21.67
[PG] Iter 359/500 | Mean Reward=66.34
[PG] Iter 360/500 | Mean Reward=79.46
Saved latest PG checkpoint (iter 360) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 361/500 | Mean Reward=48.44
[PG] Iter 362/500 | Mean Reward=41.52
[PG] Iter 363/500 | Mean Reward=102.86
[PG] Iter 364/500 | Mean Reward=64.75
[PG] Iter 365/500 | Mean Reward=29.10
[PG] Iter 366/500 | Mean Reward=33.46
[PG] Iter 367/500 | Mean Reward=27.91
[PG] Iter 368/500 | Mean Reward=62.42
[PG] Iter 369/500 | Mean Reward=70.86
[PG] Iter 370/500 | Mean Reward=126.98
Saved latest PG checkpoint (iter 370) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 371/500 | Mean Reward=96.49
[PG] Iter 372/500 | Mean Reward=117.51
[PG] Iter 373/500 | Mean Reward=93.34
[PG] Iter 374/500 | Mean Reward=128.61
[PG] Iter 375/500 | Mean Reward=103.33
[PG] Iter 376/500 | Mean Reward=27.18
[PG] Iter 377/500 | Mean Reward=56.24
[PG] Iter 378/500 | Mean Reward=74.90
[PG] Iter 379/500 | Mean Reward=133.48
[PG] Iter 380/500 | Mean Reward=77.66
Saved latest PG checkpoint (iter 380) - P3/Q3/Batch2500/Lunarlander/checkpoints/pg_LunarLander-v3_last.pth
[PG] Iter 381/500 | Mean Reward=116.89
[PG] Iter 382/500 | Mean Reward=110.11
